STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,SEX,Sex,ACTIVITY,Economic activity (NACE Rev.2),ADJUSTMENT,Adjustment,RESIDENCE,Place of residence,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,DECIMALS,Decimals,COMMENT_TS_NACE,Comments on the time series NACE
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2001-Q4,,264491,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2002-Q1,,265861,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2002-Q2,,267586,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2002-Q3,,267756,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2002-Q4,,269880,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2003-Q1,,270685,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2003-Q2,,272888,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2003-Q3,,273476,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2003-Q4,,275674,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2004-Q1,,275725,,0,Units,,,0,Zero,,
